Property reference,Postal District,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15
1,BB18,334.52,319.77,369.85,340.87,338.11,414.3,434.79,413.42,417.83,388.77,326.53,339.95,306.23,295.38,305.11,284.85,324.02,300.3,,,,,,288.19,284.98,289.14,248.83,310.87,309.73,323.91,380.21,366.61,339.38,343.24,393.53,385.81,426.89,439.3,425.48,429.93,365.49,395.58,378.78,432.64,393.19,354.37,208.59,234.61,172.38,173.96,183.62,152.5,153.73,156.35,158.75,139.21,172.83,103.89,146.34,168.75,173.24,160.49,144.92,136.33,159.13,1014.42
4,BB18,24341.19,628.59,668.58,510.83,613.95,582.73,499.94,598.95,561.98,601.13,585.48,495.06,478.6,422.77,,,,,,,,485.8,300.4,484.27,435.31,488.16,468.61,566.15,505.5,228.12,477.91,468.4,508.4,522.57,444.12,505.07,488.58,522.7,386.71,662.15,445.06,300.26,772.03,699.75,1132.36,1131.37,672.01,567.96,499.18,521.23,522.75,707.89,574.76,435.93,657,723.48,665.16,651.4,459.04,562.38,623.07,390.81,565.09,653.28,547,784.13
5,BB18,21947.42,2714.21,182.94,196.35,242.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BD2,326.16,268,312.9,324.5,246.16,246.53,330.16,327.55,226.73,43.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,,,,,,228.36,320.33,311.32,255.95,277.75,236.39,257.22,264.22,291.45,323.07,306.64,228.12,144.23,210.33,242.19,237.09,224.52,229.84,243.27,274.18,310.8,278.65,276.85,246.12,219.19,185.91,209.44,241.72,251.94,215.85,228.75,214.03,237.5
8,BD2,218.38,187.07,201.23,219.55,214.7,193.13,229.12,151,220.37,236.03,223.53,238.29,212.74,92.04,91.48,92.5,129.81,124,135.48,84.23,184.7,255.58,177.13,186.77,247.23,202.38,244.22,270.53,275.51,311.42,258.74,157.45,230.37,262.77,280.97,245.55,225.45,213.29,179.56,173.78,165.25,147.53,196.38,111.38,179.04,187.2,223.53,214.45,201.8,185.29,197.72,188.13,134.26,206.59,148.44,140.54,171.64,156.45,181.4,187.01,205.22,161.57,166.36,170.27,153.96,147.07
10,BD3,612.27,598.36,567.3,571.51,656.42,643.52,513.82,451.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BB18,348.55,349.32,333.58,375.7,364.68,327.6,335.19,428.61,291.67,279.87,169.33,159.94,159.71,137.89,158.74,173.1,158.39,194.87,148.68,1.68,4.27,0.06,0.57,1,1.9,1.6,1.28,0,0,0.03,0.65,1.23,2.23,0,1.23,0,0.03,0,0,0,3.43,0.03,0.03,0,0.03,0,0,0,,,,,,,,,,,,,,,,,,
13,BD3,522.1,519.71,523.48,565.48,300.73,309.6,479.11,419.56,414.87,173.49,252.77,1136.45,378.39,2.46,111,38.93,0,0,0,0,0,0,0,0,104.08,224.4,253.94,302.49,316.72,303.3,245.29,255.36,224.3,230.32,238.28,227.36,222.55,220.96,208.81,228,248.49,251.41,190.48,177.76,254.89,653.54,234.36,228.14,212.5,16.41,274.39,267.16,289.97,195.81,213.37,168.85,133.45,130.32,119.97,80.71,192.27,22.24,36.52,41.77,59.79,3.99
14,BD3,59.35,56.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BD3,111.68,127.4,,,,,,,,,,,,,,,,,,,,,,123.19,108.84,98.41,136.04,123.77,156.72,198.08,194.45,202.99,212.97,214.32,193.23,187.03,66.58,187.89,169.23,194.82,219.97,232.18,290.89,312.28,254.23,417.48,15125.02,225.87,216.61,218.86,162.76,243.4,212.92,238.44,220.32,171.19,153.25,169.97,164.07,165.34,149.17,167.2,180.94,182.93,254.7,355.93
17,BD3,668.68,763.43,815.26,867.27,742.32,815.7,192.74,102.58,282.73,853.87,720.2,745.03,724.65,736.21,733.87,716.03,708.55,575.47,13.58,395.84,458.53,413.13,413.43,364.21,408.87,313.86,338.12,397.7,77.97,13.67,8.48,145.06,169.5,236.48,374.07,434.23,358,244.57,419.16,51.15,346.76,248.58,347.34,553.53,276.78,230.08,131.67,368.33,400.18,397.35,409.87,420.87,407.85,336.36,382.99,333.96,366.09,391.99,390.99,338.34,343.54,325.61,342.95,345.15,345.8,365.69
19,BD2,242.79,245.22,248.41,269.4,292.95,280.35,273.38,262.23,242.18,285.06,236.02,243.37,249.04,256.32,203.62,259,224.65,280.67,244.04,153.94,248.65,201.04,235.61,239.86,247.97,240.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
