PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS33109561,03/01/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS25128990,05/01/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS45105273,09/01/2009,HOLT PARK CP - HOLT PARK                                    ,87 IN DISABLED BAY WITHOUT BADGE,70,28/03/2019,0,0,
LS34123466,12/01/2009,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS13103529,16/01/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS33110797,16/01/2009,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS38110477,16/01/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS33110979,17/01/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS36093978,17/01/2009,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS36094697,22/01/2009,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS34124720,28/01/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS38111753,28/01/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS45107621,31/01/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS56086997,03/02/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS4510825A,06/02/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS26096594,07/02/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS31087151,09/02/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS34125654,09/02/2009,QUARRY HILL C CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS38113362,13/02/2009,BURLEY ROAD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS32129483,15/02/2009,HUNSLET LANE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,28/03/2019,0,0,
LS5906749A,17/02/2009,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
LS21115578,18/02/2009,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,28/03/2019,0,0,
LS13106957,18/02/2009,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,28/03/2019,0,0,
