Reference,Road,Ward,Defect,Recorded,Completed,Cost,Easting,Northing
HWO2535171,DEWSBURY ROAD -  (Ardsley and Robin Hood) - A-0650-042,Ardsley and Robin Hood,Pothole Carriageway,29/10/2025,,71.67,428097.97,426533.23
HWO2535170,DEWSBURY ROAD -  (Ardsley and Robin Hood) - A-0650-042,Ardsley and Robin Hood,Pothole Carriageway,29/10/2025,,71.67,428102.45,426527.21
HWO2535159,DEWSBURY ROAD -  (Ardsley and Robin Hood) - A-0650-042,Ardsley and Robin Hood,Pothole Carriageway,29/10/2025,,71.67,428109.81,426517.81
HWO2535158,DEWSBURY ROAD -  (Ardsley and Robin Hood) - A-0650-042,Ardsley and Robin Hood,Pothole Carriageway,29/10/2025,,71.67,428098.83,426528.59
HWO2535155,DEWSBURY ROAD -  (Morley South) - A-0653-008,Morley South,Pothole Carriageway,29/10/2025,,71.67,428137.4,426741.43
HWO2535146,GILDERSOME SPUR -  (Morley North) - 23025111-002,Morley North,Pothole Carriageway,29/10/2025,,71.67,,
HWO2535145,GILDERSOME SPUR -  (Morley North) - 23025111-002,Morley North,Pothole Carriageway,29/10/2025,,71.67,424598.28,428256.28
HWO2535144,WELL HOUSE DRIVE -  (Roundhay) - 23013123-001,Roundhay,Pothole Carriageway,29/10/2025,,71.67,432020.88,436166.51
HWO2535135,MILLSHAW ROAD -  (Morley North) - A-6110-002,Morley North,Pothole Carriageway,29/10/2025,,71.67,428361.66,429491.12
HWO2535134,STONE PITS LANE -  (Morley North) - 23024379-001,Morley North,Pothole Carriageway,29/10/2025,,71.67,424830.44,428054.6
HWO2535133,MILLSHAW ROAD -  (Morley North) - A-6110-002,Morley North,Pothole Carriageway,29/10/2025,,71.67,428369.92,429464.98
HWO2535132,WELL HOUSE DRIVE -  (Roundhay) - 23013123-001,Roundhay,Pothole Carriageway,29/10/2025,,71.67,432102.82,436256.86
HWO2535124,DALES WAY -  (Guiseley and Rawdon) - 23024795-001,Guiseley and Rawdon,Pothole Carriageway,29/10/2025,,71.67,417709.76,441794.63
HWO2535122,NEPSHAW LANE SOUTH -  (Morley North) - 23030085-002,Morley North,Pothole Carriageway,29/10/2025,,71.67,425017.57,428171.63
HWO2535107,WELL HOUSE AVENUE -  (Roundhay) - 23013121-001,Roundhay,Pothole Carriageway,29/10/2025,,71.67,432177.63,436430.83
HWO2535106,TREEFIELD INDUSTRIAL ESTATE -  (Morley North) - 23030486-001,Morley North,Pothole Carriageway,29/10/2025,,71.67,424695.96,428568.95
HWO2535094,WELL HOUSE ROAD -  (Roundhay) - 23013125-002,Roundhay,Pothole Carriageway,29/10/2025,,71.67,432096.43,436354.86
HWO2535091,WELL HOUSE ROAD -  (Roundhay) - 23013125-002,Roundhay,Pothole Carriageway,29/10/2025,,71.67,432092.7,436318.57
HWO2535080,GREAT NORTH ROAD - (Kippax and Methley) - 23024262,Kippax and Methley,Pothole Carriageway,29/10/2025,,71.67,444010.4855,433773.6429
HWO2535079,SOUTHWOOD CRESCENT - (Cross Gates and Whinmoor) - 23011164,Cross Gates and Whinmoor,Pothole Carriageway,29/10/2025,,71.67,436112,435758
HWO2535078,KING LANE - (Alwoodley) - 23007074,Alwoodley,Pothole Carriageway,29/10/2025,,71.67,429714.0664,438996.3353
HWO2535077,KNOWSTHORPE WAY - (Burmantofts Richmond Hill) - 23014281,Burmantofts and Richmond Hill,Pothole Carriageway,29/10/2025,,71.67,432936.4337,431619.4586
HWO2535075,COOKRIDGE LANE - (Adel and Wharfedale) - 23003629,Adel and Wharfedale,Pothole Carriageway,29/10/2025,,71.67,424853.4231,441537.9427
HWO2535074,CALVERLEY LANE - (Horsforth) - 23021263,Horsforth,Pothole Carriageway,29/10/2025,,71.67,422197.2623,437027.6932
